rule_name,category,pattern,match_type,confidence,counterparty,source
RAISED STORAGE SOLUTIONS PTY LTD,Rent,RAISED STORAGE SOLUTIONS PTY LTD,keyword,0.95,RAISED STORAGE SOLUTIONS PTY LTD,institution
RICHFIELDS PARRAMATTA PTY LTD,Rent,RICHFIELDS PARRAMATTA PTY LTD,keyword,0.95,RICHFIELDS PARRAMATTA PTY LTD,institution
BAY COURT PROPERTIES PTY LTD,Rent,BAY COURT PROPERTIES PTY LTD,keyword,0.95,BAY COURT PROPERTIES PTY LTD,institution
UNIQ PROPERTY PTY LTD,Rent,UNIQ PROPERTY PTY LTD,keyword,0.95,UNIQ PROPERTY PTY LTD,institution
AUSTRALAND INDUSTRIAL NO. 68 PTY LIMITED,Rent,AUSTRALAND INDUSTRIAL NO 68 PTY LIMITED,keyword,0.95,AUSTRALAND INDUSTRIAL NO. 68 PTY LIMITED,institution
Metropolitan Housing Group Pty Ltd,Rent,METROPOLITAN HOUSING GROUP PTY LTD,keyword,0.95,Metropolitan Housing Group Pty Ltd,institution
WETHERILL PARK PLAZA PTY LIMITED,Rent,WETHERILL PARK PLAZA PTY LIMITED,keyword,0.95,WETHERILL PARK PLAZA PTY LIMITED,institution
OCEANIC PROPERTY MANAGEMENT PTY LTD,Rent,OCEANIC PROPERTY MANAGEMENT PTY LTD|OCEANIC SORRENTO,keyword,0.95,OCEANIC PROPERTY MANAGEMENT PTY LTD,institution
ROSELEA HOMES MARKETING PTY LIMITED,Rent,ROSELEA HOMES MARKETING PTY LIMITED,keyword,0.95,ROSELEA HOMES MARKETING PTY LIMITED,institution
AUSTRALIA REAL ESTATE & FINANCE PTY LTD,Rent,AUSTRALIA REAL ESTATE FINANCE PTY LTD,keyword,0.95,AUSTRALIA REAL ESTATE & FINANCE PTY LTD,institution
PBE WONTHAGGI AND DISTRICTS PTY. LTD.,Rent,PBE WONTHAGGI AND DISTRICTS PTY LTD|PBE REAL ESTATE|RAY WHITE WONTHAGGI,keyword,0.95,PBE WONTHAGGI AND DISTRICTS PTY. LTD.,institution
Association Offices Pty Ltd,Rent,ASSOCIATION OFFICES PTY LTD,keyword,0.95,Association Offices Pty Ltd,institution
RATNAM PROPERTY & INVESTMENT MANAGEMENT PTY LTD,Rent,RATNAM PROPERTY INVESTMENT MANAGEMENT PTY LTD,keyword,0.95,RATNAM PROPERTY & INVESTMENT MANAGEMENT PTY LTD,institution
COE PROPERTY GROUP PTY LTD,Rent,COE PROPERTY GROUP PTY LTD,keyword,0.95,COE PROPERTY GROUP PTY LTD,institution
KELDALE MANAGEMENT PTY LTD,Rent,KELDALE MANAGEMENT PTY LTD,keyword,0.95,KELDALE MANAGEMENT PTY LTD,institution
AUSSIE HOME BUYERS (AUST) PTY LTD,Rent,AUSSIE HOME BUYERS AUST PTY LTD,keyword,0.95,AUSSIE HOME BUYERS (AUST) PTY LTD,institution
Great Southern Property Pty Limited,Rent,GREAT SOUTHERN PROPERTY PTY LIMITED,keyword,0.95,Great Southern Property Pty Limited,institution
Wise Choice Realty Pty Ltd,Rent,WISE CHOICE REALTY PTY LTD,keyword,0.95,Wise Choice Realty Pty Ltd,institution
